Заголовок;Тип ЗМІ;Джерело;Країна;Регіон;Місто;Рівень видання;Рубрика;Дата виходу;Дата обробки;URL;Анотація;Ім'я автора;Країна автора;Назва місця публікації;Кількість лайків;Кількість репостів;Кількість коментарів;Сумарна кількість переглядів разом із дублями;Тип повідомлення
ТСН. Марафон Єдині новини за 27 травня 2024;Соціальні мережі;youtube;;;;Національний;;27.05.2024 12:36;28.05.2024 10:36;https://www.youtube.com/watch;"ТСН. Марафон Єдині новини за 27 травня 2024
 #тсн #новини1плюс1 #новости #войнавукраине2023 #новостиукраины #новинитсн  #новинионлайн  #новиниукраїни #новостимира #новиниУкраїни

---------------------------------------------------------------------------------

Підтримати ТСН добровільним внеском  https://tsn.ua/donate
Станьте спонсором каналу /@tsn України і слава ні воя ще на";ТСН;;ТСН;94;;;;Пост
Нафтозавод у Рязані атакувати БПЛА та США оголосили новий пакет допомоги Україні | Cуспільне. Студія;Соціальні мережі;youtube;;;;Національний;;13.03.2024 00:00;15.03.2024 18:34;https://www.youtube.com/watch;"У Рязанській області РФ 13 березня на території нафтозаводу сталася пожежа після атаки безпілотників.  Губернатор регіону повідомив, що кілька людей отримали травми. Площа пожежі становила 100 квадратних метрів.

США оголосили про новий пакет допомоги Україні на суму 300 мільйонів доларів, до якого увійшли артилерійські снаряди, ракети GMLRS для HIMARS. Радник президента США Джо Байдена ";Суспільне Львів;;Суспільне Львів;26;;;;Пост
Лавка апгрейду ментального здоров'я. ДЕНЬ 2;Соціальні мережі;youtube;;;;Національний;;08.05.2024 00:00;09.05.2024 00:22;https://www.youtube.com/watch;"представлення досвіду закладів освіти  57, 25, 33, 47 так Ну що Шановні колеги ми будемо розпочинати нашу сьогоднішню зустріч Я дуже рада вас дуже рада вас всіх вітати у нашій лавці апгрейду ментального здоров&#39;я і сьогодні Хочу познайомити вас із наступною групою препаратів які розташовані на другій полиці і мають загальну назву стабілізатори наст стабілізатори настію це клас група ";КУ ЦПРПП Херсон;;КУ ЦПРПП Херсон;0;;;;Пост
ЗАМОРОЗИТЬ ВОЙНУ В УКРАИНЕ: такая мечта россиянВРАГ ПРОДОЛЖАЕТ НАСТУПЛЕНИЕ;Соціальні мережі;youtube;;;;Національний;;29.02.2024 10:52;01.03.2024 08:52;https://www.youtube.com/watch;"Буданов: Россияне были бы очень рады заморозить войну, но этого никогда не будет. По словам начальника ГУР, захватчики хотят, чтобы Украина признала оккупированные территории как российские  и они праздновали бы свою победу.

Александр Сырский: Враг продолжает наступательные действия, предоставляем дополнительные боеприпасы и резервы. Главнокомандующий подчеркнул, что во время работы у ";Espreso;;Espreso;599;;;;Пост
Ми не готові до нового наступу росіян? | Незламна країна. 29.03.24 | 5 канал онлайн;Соціальні мережі;youtube;;;;Національний;;29.03.2024 15:22;30.03.2024 14:22;https://www.youtube.com/watch;"Уроки війни. Чому ми не готові до нового наступу росіян?  
Прогнози на літо. Ворог хоче знову взяти Київ?  
Комітет розглянув законопроєкт Про мобілізацію. Голосування за два тижні.  
Дипломатичний корпус. Чому Зеленський всіх відставників відправляє в дипломати?  
Канцлер не боїться Путіна. Але Таурусів не дає.

З питань партнерства пишіть partner@5.ua
Останні новини України онлайн. О";5 канал;;5 канал;176;;;;Пост
КОСТЯ ТРЕМБОВЕЦЬКИЙ і ВАСЯ ХАРІЗМА в Клубі Дилетантів #36;Соціальні мережі;youtube;;;;Національний;;22.04.2024 00:00;24.04.2024 00:30;https://www.youtube.com/watch;"Крипта це WhiteBIT https://whitebit.com/referral/lnjbit
Криптодепозит https://whitebit.com/ua/earn/crypto-l...

у Цитрус є круті роботи-пилососи на будь-який гаманець. 
 https://www.ctrs.com.ua/roboty-uborsh...

Новий випуск Клубу Дилетантів гостями якого стали Вася Харізма і Костя Тпембовецький
Підпишіться на інсту хлопців:
Вася - /vasia.charisma
Костя -  /trembowiecki

Станьт";ЛЕВИ НА ДЖИПІ;;ЛЕВИ НА ДЖИПІ;28000;;;;Пост
Що чекає українців на ринку депозитів у 2024 році;Соціальні мережі;youtube;;;;Національний;;10.04.2024 00:00;14.04.2024 01:27;https://www.youtube.com/watch;"10 квітня Фінансовий клуб проводить круглий стіл на тему: Що чекає українців на ринку депозитів у 2024 році

На круглому столі обговоримо такі питання:

1. Динаміка депозитного портфеля банків з початку 2024 року: аналіз структури коштів населення та основні тенденції на ринку.
2. Державні VS приватні банки: кому українці довіряють під час війни.
3. Як впливає на ставки по депозитах ";FinClub;;FinClub;6;;;;Пост
"ТРИВОГ БУДЕ БІЛЬШЕ. Києву загрожує ""Циркон"" | Незламна країна. 27.03.2024 | 5 канал онлайн";Соціальні мережі;youtube;;;;Національний;;27.03.2024 09:32;28.03.2024 04:32;https://www.youtube.com/watch;"З питань партнерства пишіть partner@5.ua
Останні новини України онлайн. Оперативні актуальні ПЕРЕВІРЕНІ новини війни і фронту // Мільйонний збір на рації для ЗСУ. Долучайтесь! Задонатити можна тут:
- Apple/Google Pay/картою:  https://send.monobank.ua/jar/5AEPyNCvkG
- На карту 5375411204592088
- PayPal@5.ua з приміткою ""На рації""

Або купити ""гарячі"" магніти 5 каналу - тут: https://www.5.";5 канал;;5 канал;125;;;;Пост
Чому прибрали РАЇСІ, підступність старлінків і Маска, знову Ковід, ЗАГРОЗИ та ГАРНІ НОВИНИ;Соціальні мережі;youtube;;;;Національний;;20.05.2024 00:00;25.05.2024 13:24;https://www.youtube.com/watch;"Прямий ефір від 20.05.2024

Наш ТГ-канал Езотеричні здибанки https://t.me/esoteric_meetings_8channel
***
Для ЗСУ від 8 каналу
ВАЖЛИВИЙ збір на ТЕРМІНОВІ потреби для захисників! Долучіться, будь ласка!

Посилання на банку
https://send.monobank.ua/jar/VqUiLejGr

Номер картки банки
5375411212544659

 Для ЗСУ від 8 каналу
Долучайтеся до збору коштів!
Мета: 1000000.0 UAH
Поповнити кон";8 канал. ua;;8 канал. ua;15000;;;;Пост
Знайомство з ФАБД;Соціальні мережі;youtube;;;;Національний;;02.03.2024 00:00;07.03.2024 08:54;https://www.youtube.com/watch;Офіційний сайт: https://lntu.edu.ua/uk Добрий день шановні присутні шановні потенційні абітурієнти батьки учнів школярів чи шкіл чи коледжів Ми раді вас вітати в стінах Луцького національного технічного університету я декан факультету архітектури будівни та дизайну Андрійчук Олександр Валентинович тут присутні завідувачі кафедр з якими я вас буду знайомити по ходу виступу присутній наш к;ЛНТУ;;ЛНТУ;3;;;;Пост
Головні новини тижня: масовані атаки, мобілізація, заяви Сирського і Зеленського та наступ на Харків;Соціальні мережі;youtube;;;;Національний;;30.03.2024 00:00;30.03.2024 22:26;https://www.youtube.com/watch;"Нові ""полювання"" від ТЦК: призовників ловлять на будівництві та знімають з дерев. Потужні вибухи у Києві: які ракети долетіли з Криму та куди цілилися рашисти?! Україна уразила ще один Великий десантний корабель ЧФ РФ Костянтин Ольшанський, який колись належав Україні.  Зеленський раптово звільнив Данілова! Що трапилося і хто тепер голова РНБО?! Путін захопить Харків і закінчить СВО?";ТСН;;ТСН;11;;;;Пост
 3 ПОПАДАНИЯ В СУММАХ  ЧАСТЬ ОДЕССЫ БЕЗ СВЕТА  Подробности массированной атаки шахедами! НОВОСТИ;Соціальні мережі;youtube;;;;Національний;;06.03.2024 07:29;07.03.2024 04:29;https://www.youtube.com/watch;"Сразу три попадания зафиксировали в Сумах в результате вражеского удара. Пострадавшим оказывается помощь. Ночью россияне атаковали город ""Шахедами"". Сообщили в областной военной администрации. Там заметили, что взрывы были в разных частях города, масштабы разрушений уточняются. По данным местных властей, с 8 часов утра на местах будут работать штабы по ликвидации последствий обстрела. Ча";Espreso;;Espreso;721;;;;Пост
ЛЮДИ ВІЙНИ  ПІДСУМКИ ДНЯ 29 березня із Матвієм ГАНАПОЛЬСЬКИМ;Соціальні мережі;youtube;;;;Національний;;29.03.2024 21:04;30.03.2024 20:04;https://www.youtube.com/watch;" Підписуйтесь на Телеканал Прямий в YouTube  https://bit.ly/pryamiy
 тисніть на дзвоник, щоб отримувати сповіщення про нові відео на каналі
 та дивіться наживо наш прямий ефір  /pryamiy

 Підтримайте Телеканал Прямий - ставайте спонсором нашого YouTube-каналу  https://bit.ly/pryamiy_sponsor

 Приєднуйтесь до наших акаунтів у соцмережах, щоб бути в курсі актуальних новин:
";Телеканал Прямий;;Телеканал Прямий;769;;;;Пост
Як досвідченому дизайнеру ефективно навчатися і бути конкурентоздатним;Соціальні мережі;youtube;;;;Національний;;21.03.2024 00:00;25.03.2024 10:16;https://www.youtube.com/watch;"Дуже багато матеріалів є про те, як розпочати свій шлях, але менше  про те, куди ж можна розвиватися вже скіловому дизайнеру. Саме про це ми поговоримо з досвідченими дизайнерами, які не зупиняються у своєму професійному розвитку.  

Ірина Шкаровська, Associate Director
Сергій Серьогін, Experience Design Manager
Марія Турук, Experience Design Manager
Антон Голубєв, Lead Designer Всім пр";EPAM Ukraine Career;;EPAM Ukraine Career;30;;;;Пост
Нічна дронова атака по Україні, Закон про англійську мову | Суспільне. Студія | 05.06.24;Соціальні мережі;youtube;;;;Національний;;05.06.2024 10:58;05.06.2024 23:58;https://www.youtube.com/watch;"5 червня  833 день Україна протистоїть повномасштабному вторгненню Росії. 

Закон про англійську мову.

Дронова атака. На Миколаївщині уламками зруйновано та пошкоджено будинки.

#Україна #війна #суспільнестудія #новиниукраїни #новини

Політика взаємодії з аудиторією на цифрових платформах АТ НСТУ: https://bit.ly/3rUswV1 суспільне новини у студії Євгенія гарков та Ольга Дудка і далі п";Суспільне Ужгород;;Суспільне Ужгород;17;;;;Пост
Круглий стіл Українська митниця в умовах вступу України до Європейського союзу.;Соціальні мережі;youtube;;;;Національний;;31.03.2024 00:00;01.04.2024 12:57;https://www.youtube.com/watch;"29 березня 2024 року Інститут економічних досліджень та політичних консультацій (ІЕД) провів Круглий стіл Українська митниця в умовах вступу України до Європейського союзу.

Функціонування і безперервне реформування митних органів в Україні протягом історії свого існування носило найбільш неоднозначний і суперечливий характер. Митні органи України пройшли складний шлях інституційних ";Інститут економічних досліджень та політичних консультацій ІЕД;;Інститут економічних досліджень та політичних консультацій ІЕД;4;;;;Пост
СОРВАЛИ НАСТУПЛЕНИЕ ВРАГА на Запорожском направленииВЗРЫВЫ В МАРИУПОЛЕ;Соціальні мережі;youtube;;;;Національний;;19.02.2024 10:42;20.02.2024 04:42;https://www.youtube.com/watch;"Ночью российские оккупанты предприняли попытку наступления на Запорожском направлении. Силы обороны отразили штурм, уничтожили технику и личный состав врага. Об этом сообщает пресс-служба Сухопутных войск. На видео, которое обнародовали в ВСУ, хорошо видно, как враг панически убегает. Его техника уничтожена, личный состав  ликвидирован,  констатируют в Сухопутных войсках.

#Авдеевка #р";Espreso;;Espreso;920;;;;Пост
Російські добровольці СТРІЛЯТИМУТЬ ПО БЄЛГОРОДУ? Просять ЕВАКУЮВАТИСЬ! | Незламна країна | 14.3.24;Соціальні мережі;youtube;;;;Національний;;14.03.2024 09:35;15.03.2024 01:35;https://www.youtube.com/watch;"З питань партнерства пишіть partner@5.ua
Останні новини України онлайн. Оперативні актуальні ПЕРЕВІРЕНІ новини війни і фронту // Мільйонний збір на рації для ЗСУ. Долучайтесь! Задонатити можна тут:
- Apple/Google Pay/картою:  https://send.monobank.ua/jar/5AEPyNCvkG
- На карту 5375411204592088
- PayPal@5.ua з приміткою ""На рації""

Або купити ""гарячі"" магніти 5 каналу - тут: https://www.5.";5 канал;;5 канал;182;;;;Пост
Круглий стіл у рамках Всеукраїнського фестивалю науки;Соціальні мережі;youtube;;;;Національний;;30.05.2024 00:00;01.06.2024 01:49;https://www.youtube.com/watch;"27 травня 2024 року співробітниками лабораторії виховання готовності до ринку праці Інституту проблем виховання НАПН України було проведено Круглий стіл Ціннісне професійне самовизначення і карєрне становлення учнів закладів загальної середньої освіти в умовах воєнного стану і повоєнного відновлення країни (у рамках Всеукраїнського фестивалю науки).
Метою заходу було обговорення актуа";Інститут проблем виховання НАПН України;;Інститут проблем виховання НАПН України;8;;;;Пост
Інтернет-конференція: Безпека в інтернеті: нові виклики для педагогів;Соціальні мережі;youtube;;;;Національний;;02.02.2024 00:00;06.02.2024 09:55;https://www.youtube.com/watch;" Реєстрація: https://naurok.com.ua/conference/inte...

 ЗАПИС ІНТЕРНЕТ-КОНФЕРЕНЦІЇ
00:00  Початок трансляції
03:34  Відкриття інтернет-конференції
32:13  Вікторія Богданова. Під прицілом правди: боротьба з фейками в сучасному світі
01:32:27  Любов Цукор. Безпека та штучний інтелект: новий виклик для всіх?
02:31:55  Юлія Батура. Диджитал-етикет та цифрове громадянство учасників ос";На Урок;;На Урок;35;;;;Пост
БДМУ | Публічний захист дисертації на здобуття ступеня доктора філософії Воронюк Ксенія;Соціальні мережі;youtube;;;;Національний;;13.03.2024 00:00;16.03.2024 06:32;https://www.youtube.com/watch;"Діагностика та прогнозування структурно-функціональних змін міокарда лівого шлуночка у хворих на первинну артеріальну гіпертензію з урахуванням предикторів їх розвитку
Дата  13 березня 2024 р. 12:00

Голова ради  д.мед.н., професор Хухліна Оксана Святославівна, завідувач кафедри внутрішньої медицини, клінічної фармакології та професійних хвороб Буковинського державного медичного унів";Youtube Медіакампус БДМУ;;Youtube Медіакампус БДМУ;14;;;;Пост
Прозорість місцевого самоврядування як складова процесу децентралізації. Практика сьогодення.;Соціальні мережі;youtube;;;;Національний;;30.04.2024 00:00;03.05.2024 22:06;https://www.youtube.com/watch; я знав Шановні колеги Доброго дня Слава украї с ми дуже раді бачити таку велику громаду зібраних представників різних громад різних районів Житомирщини Дуже дякуємо всім за таку зацікавленість і готовність працювати разом задля прозорості органів місцевого самоврядування ми сьогодні маємо можливість говорити про зміни в нашій країні говорити про реформи в нашій країні впер в першу чергу;Комітет з питань організації державної влади;;Комітет з питань організації державної влади;1;;;;Пост
 Новини ТСН 11:00 за 22 травня 2024 року | Новини України;Соціальні мережі;youtube;;;;Національний;;22.05.2024 00:00;25.05.2024 16:42;https://www.youtube.com/watch;"Новини за 22 травня 2024 року - про ситуацію на передовій та регіонах України дивіться в онлайн-трансляції.

---------------------------------------------------------------------------------

Підтримати ТСН добровільним внеском  https://tsn.ua/donate
Станьте спонсором каналу /@tsn

#обстріл #ракетнийудар #тсн #новини1плюс1 #новости #войнавукраине2023 #новостиукраины #новинитсн  #";ТСН;;ТСН;203;;;;Пост
 УЖАСНЫЕ ПОДРОБНОСТИ РАКЕТНОЙ АТАКИ  Россияне ударили по энергообъектам в 5 областях Украины;Соціальні мережі;youtube;;;;Національний;;01.06.2024 08:47;01.06.2024 15:47;https://www.youtube.com/watch;"Атакованные энергообъекты в Запорожской, Днепропетровской, Донецкой, Кировоградской, Ивано-Франковской областях. Энергетики уже работают над ликвидацией последствий атак.

#ракетная_атака #энергообъекты #война #новости #Еспресо Час новин на телеканалі Еспресо у студії працює Катерина широкопояс уночі ворог завдав масованого удару по Україні шахедами та ракетами із літаків стратегічної ав";Espreso;;Espreso;672;;;;Пост
12.03.2024 року засідання Вищої ради правосуддя;Соціальні мережі;youtube;;;;Національний;;12.03.2024 10:49;13.03.2024 08:49;https://www.youtube.com/watch;"12.03.2024 року засідання Вищої ради правосуддя (вул. Студентська, 12-а, м. Київ).
Згідно з п. 7.1. Регламенту ВРП засідання Ради транслюються в режимі онлайн на YouTubeканалі Ради та офіційному вебсайті Ради в розділі Відео. Трансляція засідань Ради не проводиться у випадку ухвалення ВРП відповідного рішення за клопотанням (запереченням) сторони (особи, щодо якої розглядається питанн";Вища рада правосуддя;;Вища рада правосуддя;12;;;;Пост
"XV Міжнародна виставка ""Сучасні заклади освіти - 2024"" Частина 1";Соціальні мережі;youtube;;;;Національний;;01.04.2024 00:00;03.04.2024 03:33;https://www.youtube.com/watch; ру пототе шановні ні колеги всіх Вітаю Сьогодні у нас свято освітянське свято ми сьогодні проводимо нашу конференцію форматі онлайн конференцію освіттян нашого міста міста Дніпро і Тема нашої конференції освітні діалоги тенденції інновації практика Шановні колеги я хочу сказати що в цьому році Хоча і триває повномасштабна війна місто Дніпро стоїть дуже таким Твер тим тилом для наших обо;Освітня траєкторія. Дніпро;;Освітня траєкторія. Дніпро;0;;;;Пост
ЛЮДИ ВІЙНИ  ПІДСУМКИ ДНЯ 5 лютого із Матвієм ГАНАПОЛЬСЬКИМ;Соціальні мережі;youtube;;;;Національний;;05.02.2024 00:00;06.02.2024 21:18;https://www.youtube.com/watch;" Підписуйтесь на Телеканал Прямий в YouTube  https://bit.ly/pryamiy
 тисніть на дзвоник, щоб отримувати сповіщення про нові відео на каналі
 та дивіться наживо наш прямий ефір  /pryamiy

 Підтримайте Телеканал Прямий - ставайте спонсором нашого YouTube-каналу  https://bit.ly/pryamiy_sponsor

 Приєднуйтесь до наших акаунтів у соцмережах, щоб бути в курсі актуальних новин:
";Телеканал Прямий;;Телеканал Прямий;959;;;;Пост
Литва - Україна | ПРЯМА ТРАНСЛЯЦІЯ І Чемпіонат світу ІВ;Соціальні мережі;youtube;;;;Національний;;03.05.2024 19:43;04.05.2024 02:43;https://www.youtube.com/watch;"Setanta Sports відкриває збір в рамках кампанії Захистимо Харківське Небо. Спільно з підписниками ми збираємо кошти на датчики для системи РЕБ, що захистять Харків від Шахедів.

Посилання на Банку: https://send.monobank.ua/jar/8baeoPppQ8
Підтримайте Харків донатом та розповсюдженням збору!
Зібрані кошти будуть передані БО БФ ДАР (ідентифікаційний код  34691861).
Обєднуємось заради п";Setanta Sports;;Setanta Sports;3100;;;;Пост
Розгляд клопотання про застосування запобіжного заходу депутату Сумської облради;Соціальні мережі;youtube;;;;Національний;;28.03.2024 00:00;01.04.2024 01:49;https://www.youtube.com/watch;Справа  991/2566/24 ж після перерви ололоженя засування заго заходу перед початком засння було обговорено питання з учасниками щодо ранляції засідання на тингу YouTube є Ема клопотання осіб які не прису засіда запереченя учасникі таке трансляція крім того у перерві було ухвалено рішення про участь у відеконференції ску на прохання сторони захисту певних осіб які вис ли бажання чи намір ;Вищий антикорупційний суд;;Вищий антикорупційний суд;62;;;;Пост
 ОЧЕРЕДНАЯ АТАКА БПЛА  Несколько групп ударных враждебных БПЛА атаковали этой ночью  НОВОСТИ;Соціальні мережі;youtube;;;;Національний;;27.03.2024 07:14;27.03.2024 16:14;https://www.youtube.com/watch;"Воздушные силы сообщили об очередной атаке на области Украины, которую россияне совершают ударными БпЛА.

#БПЛА #шахеды #война #новости #Эспресо Вітаю всіх глядачів телеканалу Еспресо розпочинаємо інформаційний день з новин в студії працює Христина Парубій трівожна ніч на Росії 18 ракет від рсзв начебто знищили над білгородською областю повідомило російське Міноборони скаржаться що є оди";Espreso;;Espreso;611;;;;Пост
 Ночью Россия атаковала Украину шахедами  Детали атаки  Оперативные новости;Соціальні мережі;youtube;;;;Національний;;02.06.2024 08:09;03.06.2024 03:09;https://www.youtube.com/watch;"Известно, что ударные БПЛА фиксировались в Винницкой, Кировоградской, Одесской, Николаевской, Херсонской, а также в акватории Черного моря.

#Россия #шахеды #атака #новости #Эспресо Час новин на телеканалі Еспресо у студії працює Катерина широкопояс Володимир Зеленський зустрівся із головою пентагона лойдом остіном анонсувалося що вони обговорять поточну ситуацію на фронті в Україні заяв";Espreso;;Espreso;375;;;;Пост
ТЕРМІНОВО! ЗЕЛЕНСЬКИЙ ПРИЗНАЧИВ СИРСЬКОГО НОВИМ ГОЛОВНОКОМАНДУВАЧЕМ;Соціальні мережі;youtube;;;;Національний;;08.02.2024 17:17;09.02.2024 03:17;https://www.youtube.com/watch;"Новини України прямий ефір на Апостроф TV. Всі новини за останню добу. Найактуальніші та головні новини України на Апостроф TВ.

Дякуємо, що ви з нами! Ваша підтримка це наша спільна перемога, ПІДПИСУЙТЕСЬ на #АпострофTV.
Слідкуйте за оперативними новинами в Telegram: https://t.me/+j5r7ThwRpGoyNzI6  
Читайте сайт: https://cutt.ly/49q8dPN 
Facebook: /apostrophetvchannel   
Inst";Апостроф TV;;Апостроф TV;405;;;;Пост
Презентація Моніторингового звіту щодо застосування Європейської соціальної хартії (переглянутої);Соціальні мережі;youtube;;;;Національний;;31.05.2024 00:00;01.06.2024 18:38;https://www.youtube.com/watch; так Добрий день Вітаю колеги Можемо розпочинати попрошу всіх у кого працюють камери вмикатися розпочинаємо свою роботу на приваг не знаю кого чи модератора чи людини яка бере участь в презентації цього звіту напевно одразу почну з вступного слова Шановні колеги колежанки від імені вищої школи адвокатури Дозвольте вас привітати на презентації моніторингового звіту щодо застосування в Укр;Вища Школа Адвокатури НААУ;;Вища Школа Адвокатури НААУ;4;;;;Пост
МАСОВИЙ ОБСТРІЛ УКРАЇНИ  Потужні вибухи у Києві  Влучання у Харкові;Соціальні мережі;youtube;;;;Національний;;07.02.2024 08:16;08.02.2024 01:16;https://www.youtube.com/watch;"Новини України сьогодні. Всі новини за останню добу. Найактуальніші та головні новини України на Апостроф TВ.

Спецефіри телеканалу Апостроф TV - Ми говоримо правду, а решту зроблять ЗСУ! 
Дякуємо, що ви з нами! Ваша підтримка це наша спільна перемога, ПІДПИСУЙТЕСЬ на /@apostrophetv

Слідкуйте за оперативними новинами в Telegram: https://t.me/+j5r7ThwRpGoyNzI6  
Читайте сайт:";Апостроф TV;;Апостроф TV;579;;;;Пост
 РАЗРУШЕНА МНОГОЭТАЖКА  Последствия удара по Одессе  Россия шахедами атаковала Одессу этой ночью;Соціальні мережі;youtube;;;;Національний;;08.02.2024 07:24;09.02.2024 03:24;https://www.youtube.com/watch;Ночью враг ударил шахедами по гражданской инфраструктуре Одессы. Частично разрушена недостроенная многоэтажка, выбиты остекления. А также изуродовано учебное заведение: пробита крыша, перекрытия, выбиты окна, сообщил глава области Олег Кипер. Погибших и раненых нет. Подразделения ПВО результативно отработали по подавляющему большинству враждебных целей. В Николаеве из-за ударов шахедов в;Espreso;;Espreso;465;;;;Пост
Небезпечніша за КинджалМодернізована ракета Циркон - нова загроза | Незламна країна 26.3.24;Соціальні мережі;youtube;;;;Національний;;26.03.2024 09:01;27.03.2024 00:01;https://www.youtube.com/watch;"З питань партнерства пишіть partner@5.ua
Останні новини України онлайн. Оперативні актуальні ПЕРЕВІРЕНІ новини війни і фронту // Мільйонний збір на рації для ЗСУ. Долучайтесь! Задонатити можна тут:
- Apple/Google Pay/картою:  https://send.monobank.ua/jar/5AEPyNCvkG
- На карту 5375411204592088
- PayPal@5.ua з приміткою ""На рації""

Або купити ""гарячі"" магніти 5 каналу - тут: https://www.5.";5 канал;;5 канал;121;;;;Пост
Засідання Національної ради України з питань телебачення і радіомовлення 21 березня 2024 року;Соціальні мережі;youtube;;;;Національний;;21.03.2024 11:24;22.03.2024 09:24;https://www.youtube.com/watch;Засідання Національної ради України з питань телебачення і радіомовлення 21 березня 2024 року в ефірі Вітаю колеги Вітаю всіх хто доєднався до засідання з заявників Вітаю тих хто нас зараз дивиться в інтернеті сьогодні присутні сім членів Національної Ради маємо кворум і тому я пропоную проголосувати за відкриття засідання Хто за будь ласка всім за дякую питання які ми на сьогодні підгот;Національна рада;;Національна рада;18;;;;Пост
"РФ ВТРАЧАЄ РАКЕТОНОСІЇ: схоже, що ""Циклон"" затонувГлав ОСББ уповноважено вручати повістки";Соціальні мережі;youtube;;;;Національний;;20.05.2024 00:00;25.05.2024 01:12;https://www.youtube.com/watch;"Росія, схоже, втратила останній носій крилатих ракет у Чорному морі: 3 ракети ATACMS потрапили по причалу в Севастополі, де було пришвартовано корабель ""Циклон"". Він затонув, - ASTRA. Чекаємо на офіційне підтвердження.

Глав ОСББ уповноважено вручати повістки,  Судово-юридична газета.

Увага! Терміновий збір! 

Телеканал Еспресо просить долучитися до збору на надійний позашляховик";Espreso;;Espreso;319;;;;Пост
 Новини за 27 травня 2024 року | Новини України;Соціальні мережі;youtube;;;;Національний;;27.05.2024 00:00;28.05.2024 15:24;https://www.youtube.com/watch;"Новини за 27 травня 2024 року - про ситуацію на передовій та регіонах України дивіться в онлайн-трансляції.

---------------------------------------------------------------------------------

Підтримати ТСН добровільним внеском  https://tsn.ua/donate
Станьте спонсором каналу /@tsn

#обстріл #ракетнийудар #тсн #новини1плюс1 #новости #войнавукраине2023 #новостиукраины #новинитсн  #";ТСН;;ТСН;178;;;;Пост
"V Міжнародна конференція ""ДИСТАНЦІЙНА ОСВІТА: ІННОВАЦІЙНІ, НОРМАТИВНО-ПРАВОВІ, ПЕДАГОГІЧНІ АСПЕКТИ""";Соціальні мережі;youtube;;;;Національний;;16.05.2024 00:00;18.05.2024 23:06;https://www.youtube.com/watch;"МIНIСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ
НАЦІОНАЛЬНИЙ АВІАЦІЙНИЙ УНІВЕРСИТЕТ
НАВЧАЛЬНО-НАУКОВИЙ ІНСТИТУТ РОЗВИТКУ ОСВІТИ
V Міжнародна науково-практична конференція ""ДИСТАНЦІЙНА ОСВІТА: ІННОВАЦІЙНІ, НОРМАТИВНО-ПРАВОВІ, ПЕДАГОГІЧНІ АСПЕКТИ""

Дата проведення: 15 травня 2024 року.
м. Київ
Форма проведення: онлайн на платформі Zoom.

Голова оргкомітету: ІРИНА ЗАРУБІНСЬКА, доктор педагогічних наук,";Навчально-науковий інститут розвитку освіти;;Навчально-науковий інститут розвитку освіти;2;;;;Пост
 Новини ТСН 17:00 за 20 травня 2024 року | Новини України;Соціальні мережі;youtube;;;;Національний;;20.05.2024 00:00;25.05.2024 16:58;https://www.youtube.com/watch;"Новини за 20 травня 2024 року - про ситуацію на передовій та регіонах України дивіться в онлайн-трансляції.

---------------------------------------------------------------------------------

Підтримати ТСН добровільним внеском  https://tsn.ua/donate
Станьте спонсором каналу /@tsn

#обстріл #ракетнийудар #тсн #новини1плюс1 #новости #войнавукраине2023 #новостиукраины #новинитсн  #";ТСН;;ТСН;165;;;;Пост
Звільнення і призначення ЗАЛУЖНОГО! Чому сьогодні? | Незламна країна | ОНЛАЙН 09.05.24;Соціальні мережі;youtube;;;;Національний;;09.05.2024 15:41;10.05.2024 06:41;https://www.youtube.com/watch;"Указ про звільнення з військової служби Залужного і призначення послом. Відомо про це давно. А укази сьогодні. Чому?  
Навіщо Слугам був потрібен демарш в Київраді під час голосування за почесних громадян столиці Залужного і Ліни Костенко? 
Уряд перезавантажується. Обезголовлене Мінагро. Що далі?

З питань партнерства пишіть partner@5.ua
Останні новини України онлайн. Оперативні актуал";5 канал;;5 канал;251;;;;Пост
Вибори до Європарламенту! Чи вагомий в них фактор російської війни в Україні |Незламна країна 3.6.24;Соціальні мережі;youtube;;;;Національний;;03.06.2024 15:24;04.06.2024 10:24;https://www.youtube.com/watch;"Вибори до Європарламенту. Наскільки вагомий в них фактор російської війни в Україні? 
Нідерланди не проти. Іще одна країна авіакоаліції дозволила використовувати свої F-16 для ударів по цілях рф. 
Саміт миру у Швейцарії. 107 країн підтвердили участь. Без рф.  
Розширюємо санітарну зону на росії. На Бєлгородщині ЗСУ поціли ЗРК С-300 та С-400 ""Тріумф"", а також російську колону неподалік ко";5 канал;;5 канал;261;;;;Пост
819 ДЕНЬ ВІЙНИ - 22.05.2024 - прямий ефір телеканалу Київ;Соціальні мережі;youtube;;;;Національний;;22.05.2024 00:00;25.05.2024 21:56;https://www.youtube.com/watch;"22.05.2024 - онлайн ефір телеканалу Київ. Дивіться, коментуйте, підписуйтесь на наш канал: /@kyiv24live
__________________________________________________________
Відправити новину: +38 068 044 04 41  (Тelegram, Viber, WhatsApp)
Головні новини Києва: https://kyiv24.news/
Оперативні новини Києва в Телеграмі коротко: https://t.me/kyivtv
Обране для Києва і про Київ у Facebook: /kyi";КИЇВ24 live;;КИЇВ24 live;272;;;;Пост
